City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,cabo san lucas,22.8909,-109.9124,28.17,22,20,3.6,MX,1683688401
183,san andres,12.5847,-81.7006,28.01,83,75,5.14,CO,1683688547
184,jabor,5.921,169.6434,27.84,81,100,5.6,MH,1683688547
185,quellon,-43.1167,-73.6167,12.14,100,100,1.03,CL,1683688196
186,kukuna,9.4,-12.6667,26.07,80,90,1.19,SL,1683688547
187,port elizabeth,-33.918,25.5701,13.51,99,5,0.45,ZA,1683688189
188,hamilton,39.1834,-84.5333,15.68,65,0,3.6,US,1683688011
189,at taj,24.2049,23.2857,22.75,14,12,4.35,LY,1683688156
190,hidden valley,39.1623,-84.843,15.48,63,0,1.54,US,1683688548
191,saraktash,51.7866,51.7866,8.46,61,49,6.09,RU,1683688191
192,happy valley-goose bay,53.3168,-60.3315,-1.2,71,100,7.05,CA,1683688200
193,rampur,28.8167,79.0333,24.28,16,0,4.46,IN,1683688548
194,yangambi,0.8102,24.4336,20.34,99,100,0.51,CD,1683688549
195,oxapampa,-10.5775,-75.4017,14.37,97,100,1.08,PE,1683688549
196,pampierstad,-27.7832,24.6877,13.05,59,0,1.64,ZA,1683688549
197,klyuchi,52.2667,79.1667,13.77,32,94,4.19,RU,1683688146
198,zhigalovo,54.8097,105.1578,20.62,33,98,2.64,RU,1683688550
199,rio grande,-32.035,-52.0986,10.53,80,23,3.73,BR,1683688550
200,vovchans'k,50.3003,36.9467,6.67,73,100,2.58,UA,1683688550
201,bilibino,68.0546,166.4372,-2.51,80,100,1.84,RU,1683688147
202,buka,40.8108,69.1986,23.74,24,3,0.88,UZ,1683688550
203,urangan,-25.3,152.9,21.26,66,18,8.91,AU,1683688551
204,alofi,-19.0595,-169.9187,27.94,74,40,4.12,NU,1683688237
205,nema,57.5067,50.5011,6.9,67,9,1.65,RU,1683688489
206,rabat,33.9911,-6.8401,18.36,96,21,1.54,MA,1683688256
207,hirara,24.8,125.2833,25.92,65,20,4.63,JP,1683688552
208,broome,42.2506,-75.833,7.98,72,0,0.89,US,1683688552
209,kone,-21.0595,164.8658,25.02,50,99,4.17,NC,1683688192
210,crane,31.3974,-102.3501,23.7,51,50,8.34,US,1683688145
211,trinidad,-14.8333,-64.9,18.44,89,76,1.15,BO,1683688175
212,biltine,14.5333,20.9167,31.83,17,95,1.54,TD,1683688553
213,borovskoy,53.8,64.15,8.26,35,100,3.89,KZ,1683688553
214,brookings,44.3114,-96.7984,19.54,72,75,6.17,US,1683688553
215,mana,5.6592,-53.7767,25.72,84,90,4.85,GF,1683688553
216,kavarna,43.4333,28.3333,5.15,87,100,3.73,BG,1683688553
217,afaahiti,-17.75,-149.2833,27.81,84,59,6.73,PF,1683688142
218,sombrerete,23.6333,-103.65,15.28,29,5,5.13,MX,1683688554
219,tralee,52.2704,-9.7026,10.32,91,99,6.87,IE,1683688554
220,udachny,66.4167,112.4,-4.75,67,100,8.32,RU,1683687907
221,nagqu,31.5,92.0,0.42,57,100,6.96,CN,1683688213
222,yuzhno-kurilsk,44.0306,145.8556,5.94,97,100,4.1,RU,1683688196
223,port-vila,-17.7338,168.3219,27.78,65,40,4.12,VU,1683688157
224,hassi messaoud,31.6804,6.0729,20.7,40,5,2.91,DZ,1683688453
225,castillos,-34.1667,-53.8333,11.11,86,86,2.69,UY,1683688186
226,port mathurin,-19.6833,63.4167,25.38,74,5,5.7,MU,1683688155
227,tonkino,57.3726,46.4629,6.43,68,9,1.72,RU,1683688556
228,erattupetta,9.7,76.7833,29.63,81,100,0.74,IN,1683688556
229,carnot,4.9409,15.8665,20.8,94,100,0.36,CF,1683688556
230,suomussalmi,64.8869,28.9078,2.28,100,100,1.69,FI,1683688556
